threshold_θ,abuse_type,abuse_en,N_as_main,pct_of_main
4,성학대,Sexual,288,19.3
4,신체학대,Physical,580,38.9
4,정서학대,Emotional,328,22.0
4,방임,Neglect,295,19.8
5,성학대,Sexual,293,19.7
5,신체학대,Physical,572,38.4
5,정서학대,Emotional,330,22.1
5,방임,Neglect,296,19.9
6,성학대,Sexual,296,19.9
6,신체학대,Physical,573,38.4
6,정서학대,Emotional,336,22.5
6,방임,Neglect,286,19.2
7,성학대,Sexual,297,19.9
7,신체학대,Physical,572,38.4
7,정서학대,Emotional,336,22.5
7,방임,Neglect,286,19.2
8,성학대,Sexual,311,20.9
8,신체학대,Physical,542,36.4
8,정서학대,Emotional,355,23.8
8,방임,Neglect,283,19.0
